Date,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",100_metres_en.wikipedia.org_desktop_all-agents,10_Gigabit_Ethernet_en.wikipedia.org_desktop_all-agents,1551_en.wikipedia.org_desktop_all-agents,1896_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1936_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1976_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1980_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1984_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,1999_(Prince_album)_en.wikipedia.org_desktop_all-agents,2000_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2007_tuberculosis_scare_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2012_Benghazi_attack_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2015_NCAA_Men's_Division_I_Basketball_Tournament_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Asia_Cup_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents,2016_European_Men's_Handball_Championship_en.wikipedia.org_desktop_all-agents,2016_FIFA_Club_World_Cup_en.wikipedia.org_desktop_all-agents,2016_FIFA_Futsal_World_Cup_en.wikipedia.org_desktop_all-agents,2016_Giro_d'Italia_en.wikipedia.org_desktop_all-agents,2016_ICC_World_Twenty20_en.wikipedia.org_desktop_all-agents,2016_IIHF_World_Championship_en.wikipedia.org_desktop_all-agents,2016_Indian_Premier_League_en.wikipedia.org_desktop_all-agents,2016_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2016_NFL_Draft_en.wikipedia.org_desktop_all-agents,2016_NHL_Entry_Draft_en.wikipedia.org_desktop_all-agents,2016_Republican_National_Convention_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_closing_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_opening_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Paralympics_en.wikipedia.org_desktop_all-agents,2016_Thomas_&_Uber_Cup_en.wikipedia.org_desktop_all-agents,2016_Tour_de_France_en.wikipedia.org_desktop_all-agents,2016_UEFA_Europa_League_Final_en.wikipedia.org_desktop_all-agents,2016_United_States_men's_Olympic_basketball_team_en.wikipedia.org_desktop_all-agents,2016_World_Cup_of_Hockey_en.wikipedia.org_desktop_all-agents,2017_FIFA_Confederations_Cup_en.wikipedia.org_desktop_all-agents,2017_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(CONMEBOL)_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(UEFA)_en.wikipedia.org_desktop_all-agents,2018_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2020_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2022_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2024_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2028_Summer_Olympics_en.wikipedia.org_desktop_all-agents,3_Doors_Down_en.wikipedia.org_desktop_all-agents,4K_resolution_en.wikipedia.org_desktop_all-agents,58th_Annual_Grammy_Awards_en.wikipedia.org_desktop_all-agents,88th_Academy_Awards_en.wikipedia.org_desktop_all-agents,A.C._Milan_en.wikipedia.org_desktop_all-agents,A.J._Styles_en.wikipedia.org_desktop_all-agents,AC/DC_en.wikipedia.org_desktop_all-agents,AK-47_en.wikipedia.org_desktop_all-agents,AMGTV_en.wikipedia.org_desktop_all-agents,AR-15_en.wikipedia.org_desktop_all-agents,A_Monster_Calls_(film)_en.wikipedia.org_desktop_all-agents,A_Series_of_Unfortunate_Events_en.wikipedia.org_desktop_all-agents,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,Aamir_Khan_en.wikipedia.org_desktop_all-agents,Aaron_Lewis_en.wikipedia.org_desktop_all-agents,Aberfan_disaster_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Actor_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,Adam_Johnson_(footballer)_en.wikipedia.org_desktop_all-agents,Adam_Levine_en.wikipedia.org_desktop_all-agents,Adele_en.wikipedia.org_desktop_all-agents,Adewale_Akinnuoye-Agbaje_en.wikipedia.org_desktop_all-agents,Adobe_Photoshop_en.wikipedia.org_desktop_all-agents,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,Agent_Carter_(season_2)_en.wikipedia.org_desktop_all-agents,Agents_of_S.H.I.E.L.D._en.wikipedia.org_desktop_all-agents,Agile_software_development_en.wikipedia.org_desktop_all-agents,Ahrar_ash-Sham_en.wikipedia.org_desktop_all-agents,Airlift_(film)_en.wikipedia.org_desktop_all-agents,Akshay_Kumar_en.wikipedia.org_desktop_all-agents,Aladdin_Sane_en.wikipedia.org_desktop_all-agents,Alan_Colmes_en.wikipedia.org_desktop_all-agents,Alan_Thicke_en.wikipedia.org_desktop_all-agents,Alan_Tudyk_en.wikipedia.org_desktop_all-agents,Alaska_en.wikipedia.org_desktop_all-agents,"Albert,_Prince_Consort_en.wikipedia.org_desktop_all-agents",Albert_Einstein_en.wikipedia.org_desktop_all-agents,Albus_Dumbledore_en.wikipedia.org_desktop_all-agents,Alex_(parrot)_en.wikipedia.org_desktop_all-agents,Alex_Jones_(radio_host)_en.wikipedia.org_desktop_all-agents,Alexander_I_of_Russia_en.wikipedia.org_desktop_all-agents,Alexandre_Pato_en.wikipedia.org_desktop_all-agents,Alexis_Arquette_en.wikipedia.org_desktop_all-agents,Alexis_Ohanian_en.wikipedia.org_desktop_all-agents
2015-10-22,1918,732,1292,16,392,1609,790,401,432,475,3905,238,785,1239,1756,26,963,103,81858,1640,814,2941,331,20952,180,794,165,796,377,150,1275,143,280,233,20,256,558,19,2,83,133,23,597,388,104,141,527,622,2058,1016,479,676,1131,445,977,264,649,3720,270,1415,2496,876,4562,2533,20,1768,349,995,4239,2352,403,4055,1977,3038,369,5943,24882,1042,2719,14919,730,8921,5050,496,702,2203,511,142,892,1448,4100,968,12876,953,344,843,826,821,707,349
2015-10-23,2759,578,1117,13,447,1469,735,387,6681,494,4092,228,885,1256,1503,23,1188,100,70139,1480,801,2906,356,23146,185,725,155,497,322,118,1405,88,319,185,13,272,524,15,5,67,110,17,524,223,223,116,578,42,2136,887,510,650,1063,414,962,245,756,3571,429,1127,2080,748,4523,2448,30,1649,318,857,4269,2419,406,1104,1778,3394,169,4759,133169,931,2308,13369,813,7149,4319,412,793,2607,466,137,750,1283,3759,853,10346,924,408,1044,704,683,837,284
2015-10-24,1958,444,391,15,302,956,520,339,307,392,4058,200,498,994,1269,17,843,69,20203,1283,760,5273,236,20909,207,499,127,316,284,97,1345,116,371,168,20,217,376,29,5,53,152,17,416,92,151,96,567,52,1924,627,374,572,1061,399,831,266,644,2843,375,1097,2009,904,3589,2247,24,1479,303,798,3325,2547,308,394,1489,3385,277,4116,101399,953,2000,9298,696,6537,1956,392,757,2519,417,81,550,1146,2693,911,8347,904,356,745,475,452,636,200
2015-10-25,1327,515,551,18,327,1052,640,475,512,407,4258,241,709,967,2049,12,724,88,11661,1468,816,4106,217,20897,182,492,137,332,347,71,1530,98,264,139,14,238,400,26,7,76,147,15,525,91,121,89,460,46,1888,614,355,631,1305,383,804,218,602,2921,385,1142,4409,856,3544,2283,34,1468,348,867,3708,2562,332,308,1568,3610,3587,4257,75540,996,2106,10606,703,6802,2678,398,668,2281,531,96,782,1659,2965,969,9576,1027,234,882,535,618,616,219
2015-10-26,1433,682,1368,21,477,1721,921,463,449,530,4530,254,698,1149,2267,19,1060,116,10798,1696,874,4490,335,23609,254,854,179,451,279,125,2090,111,349,361,36,257,656,32,11,100,181,30,527,123,144,138,495,71,2114,946,409,800,1403,532,1007,293,658,4016,381,1135,4127,897,4478,2596,49,1660,389,1090,4805,2833,418,295,1872,3850,1362,4447,73443,1626,2728,14410,746,7293,5804,425,868,2420,604,153,1231,2037,4023,1024,12644,1086,1091,1019,693,1170,797,286
2015-10-27,1439,718,1486,26,436,1640,751,572,415,486,5356,351,737,1122,2000,33,923,124,7039,1686,901,4353,325,20148,215,809,126,420,213,115,1809,153,443,309,29,333,623,41,8,100,152,17,431,135,133,123,463,60,1994,863,367,740,1271,474,1109,291,747,4133,404,1230,2908,843,4445,2434,38,1639,313,963,4435,2771,449,217,1673,3205,833,7004,72289,1838,2555,14448,666,8028,5894,346,801,2419,588,143,841,1661,4262,1098,12279,1043,350,879,804,967,658,224
2015-10-28,1515,885,1363,16,410,1709,882,418,390,491,4847,238,757,1238,2150,22,1150,101,5137,1752,946,4650,390,19509,585,805,159,426,168,97,1622,143,341,349,12,258,741,28,4,102,185,24,347,134,164,123,442,78,2074,753,390,754,1063,463,975,241,751,3779,348,988,3244,752,4419,2980,41,1759,326,1062,4327,2768,455,245,1898,3436,453,5888,60315,1950,2602,14329,750,16923,5787,360,793,2262,520,194,705,1270,4031,1035,12374,977,335,976,646,2234,586,4253
2015-10-29,1929,740,1359,20,373,1637,741,387,420,425,4281,235,692,1174,2158,36,928,120,5522,1726,908,4509,460,20657,1169,1024,184,403,196,96,1736,138,372,296,20,273,1082,48,3,107,173,23,293,105,107,156,513,65,2221,719,387,719,1028,458,995,252,690,3914,348,1067,3359,682,4574,2784,45,1693,351,970,4391,2723,424,229,1663,2844,346,4780,48161,1663,2575,13719,704,10626,5611,320,789,2393,637,201,566,1123,3860,1010,13504,1122,362,923,700,1571,562,2906
2015-10-30,1902,662,1124,29,307,1380,660,476,370,455,3803,303,603,1939,1496,29,821,74,3777,1502,748,4179,283,20908,559,610,129,383,145,76,1223,108,388,234,29,281,620,37,6,78,180,27,273,130,81,98,460,54,2202,717,360,638,1034,440,1068,227,758,3381,303,1034,2560,736,4807,2885,41,1627,400,950,3861,2448,472,194,1513,3062,269,4159,43414,1542,2188,11831,642,8033,4663,306,872,2334,574,139,532,1281,3457,962,9859,945,279,869,709,2199,507,916
2015-10-31,1328,457,404,19,264,897,531,384,378,321,3225,215,541,960,1121,16,846,85,2637,1502,686,4366,203,19667,276,356,90,358,189,73,853,135,380,217,9,214,332,30,0,53,137,17,164,77,108,90,433,68,1647,477,357,537,873,350,762,228,686,2636,276,969,2315,696,3467,2402,46,1446,348,796,3018,2568,291,159,1375,2436,292,3562,32190,976,1666,8553,652,7378,2041,315,821,2337,575,167,428,1151,2859,826,7115,817,226,758,467,855,496,517
2015-11-01,1245,496,489,12,338,1044,681,409,400,391,3817,230,620,876,2576,13,931,72,2417,1639,799,3998,176,20895,192,342,118,393,156,70,771,133,211,182,20,309,329,25,3,75,141,18,230,101,90,55,399,45,1662,609,426,650,976,379,852,242,544,2760,295,1078,4250,767,3698,2413,33,1597,380,840,3652,2507,266,158,1697,3158,674,3619,28195,1133,1855,9444,714,6784,2361,318,882,2179,499,139,477,1204,2822,888,9725,1093,236,683,534,1556,560,462
2015-11-02,1367,790,1293,16,477,1488,756,439,445,469,3925,246,677,1177,1765,22,935,93,3387,1805,754,5488,447,22974,238,705,223,480,150,66,1051,140,296,335,41,313,658,32,3,101,159,20,308,131,121,152,443,71,2153,876,391,769,1122,477,953,244,675,4150,417,1292,4679,879,6908,2601,29,1717,460,1012,4692,3766,422,217,1798,3146,337,3926,31617,1263,2528,14702,857,7462,5779,365,1039,2662,479,130,539,1324,3874,1020,14071,944,325,868,687,2113,955,411
2015-11-03,1477,753,1479,19,407,1436,756,422,551,508,3809,260,708,1075,1927,35,1008,93,3644,1873,851,4442,425,19653,213,954,281,524,159,62,1074,147,368,305,44,309,874,36,3,115,210,16,262,182,132,344,494,62,2282,813,374,755,1227,575,1053,262,764,4330,569,1139,3117,812,5347,2582,44,1692,389,1069,4515,3479,474,261,1712,3231,265,4493,44040,1139,2659,14867,814,7989,5869,377,950,2430,455,144,562,1383,3870,972,14871,852,311,889,940,1964,834,477
2015-11-04,1526,731,1457,12,381,1674,755,440,464,512,3646,228,833,1052,3055,37,1229,104,11961,1628,783,4269,394,20273,261,761,388,600,180,88,1109,152,325,305,31,488,637,43,5,98,133,26,266,297,108,344,488,73,2366,813,367,889,1145,602,1007,297,713,4537,471,1231,2665,1108,6246,2483,33,1926,391,1091,4431,2838,590,221,1904,3335,156,4483,39842,1096,2728,17659,1096,16446,5874,305,1055,2368,411,208,604,1366,3827,974,12735,946,341,993,731,963,660,440
2015-11-05,1654,813,1340,26,407,1572,799,511,483,514,3712,206,846,1099,1990,26,1069,110,8687,1829,848,7117,1219,20806,224,627,313,642,253,49,1244,186,319,338,35,323,594,30,8,77,161,15,232,551,163,587,529,67,2927,981,497,830,1159,594,983,289,756,4496,455,1074,2614,944,6595,2602,51,1722,349,999,4526,2791,497,179,1878,3411,183,4783,34746,1172,2813,16361,1182,9936,5766,300,905,2368,487,183,588,1249,3900,1052,12671,976,320,901,719,594,615,1562
2015-11-06,1434,677,1115,19,348,1411,893,351,451,448,3290,207,640,1095,1600,15,1104,119,5360,1587,796,4535,1239,22792,165,649,314,508,235,69,1089,252,270,253,30,314,559,30,8,92,193,17,163,344,94,687,494,43,2780,992,453,857,1072,489,947,277,684,3915,437,1217,2581,809,5490,2469,35,1660,320,1018,4217,2731,473,276,1936,4092,186,4626,36911,1198,2381,15379,855,7653,4765,284,930,2239,419,146,516,1198,3916,996,10814,840,370,820,675,600,632,974
2015-11-07,1222,526,497,16,280,1031,623,274,277,339,3428,211,736,906,1208,13,902,84,3274,1225,730,3991,1180,22418,184,413,271,319,199,48,1009,179,223,206,17,227,386,27,6,61,130,8,108,158,126,245,418,62,2252,808,392,709,828,388,707,223,703,3066,422,1118,3511,933,4827,2281,27,1531,438,827,3279,2613,337,168,1750,3922,209,3819,33192,1027,1908,10031,851,7023,2291,291,985,2258,378,128,536,1246,2713,955,7485,842,263,749,607,11535,418,422
2015-11-08,1580,558,458,34,305,1079,674,320,380,381,3513,207,1183,1042,1493,17,1400,84,3382,1378,799,3992,1065,22832,168,458,338,526,214,52,812,223,278,207,24,313,401,25,7,83,141,13,146,150,107,271,478,69,2608,1137,486,834,1111,401,923,260,722,3239,499,1807,3973,1504,5607,2534,34,1473,412,844,3886,2498,379,212,1937,4094,256,3793,33912,1168,1944,13659,919,7371,2493,233,876,2366,442,80,573,1386,3243,1099,9175,896,263,753,586,14089,615,391
2015-11-09,1502,843,1433,23,479,1631,877,472,558,572,3639,278,1661,1243,1897,14,1952,227,3664,3387,2251,4523,1245,25334,229,677,261,571,232,67,1310,189,456,293,24,404,618,30,8,98,199,25,179,159,161,240,522,67,4716,2210,881,1155,1767,668,1422,397,698,4237,513,2352,3116,1831,5917,3382,36,2089,440,1110,4714,3028,510,247,2080,3952,246,4177,32249,1140,2772,18554,932,7719,5839,279,1347,2503,424,160,538,2765,4168,1116,13616,1026,292,880,967,4472,617,414
2015-11-10,1297,809,1483,17,502,1642,941,542,594,693,3741,220,2403,1317,1990,39,3070,246,2964,3406,1925,4520,1178,21040,205,679,236,501,193,72,1117,156,354,302,40,383,686,33,2,117,217,13,212,140,282,326,552,59,5006,2673,740,1113,1513,653,1260,359,694,4223,613,1221,2664,1002,5960,3054,36,1723,359,995,4465,2765,451,304,1829,3942,189,5476,28787,1074,2643,19113,1016,7921,5367,381,929,2255,464,88,685,1197,3979,1190,11446,1168,292,1056,735,3035,584,341
2015-11-11,1411,823,1265,17,414,1633,739,403,472,634,3247,244,2134,1460,1944,25,2619,149,6127,2157,886,4823,948,19932,227,773,224,414,188,103,1193,205,221,321,27,379,935,28,2,86,195,13,150,149,235,500,631,79,6609,3621,778,806,1246,475,1118,308,737,4203,524,2197,2494,890,5654,2454,25,1669,339,1143,4053,2643,379,262,1906,3590,178,5988,25746,1120,2571,18536,1069,14940,5003,440,817,2001,455,145,611,1088,3790,1069,11645,964,533,982,666,1597,448,321
2015-11-12,1872,775,1450,15,389,1633,859,462,683,706,3501,263,1098,1539,2056,36,1397,114,3536,1938,709,5366,958,20265,243,652,240,468,183,80,1381,203,274,294,25,300,643,39,9,109,193,20,148,125,163,1014,779,49,18392,10054,1451,801,1141,547,1203,285,783,4468,446,1212,2404,1043,6261,2773,30,1706,330,1098,4042,2686,444,233,2044,3663,167,5307,27351,1212,2543,17465,985,9726,5250,361,920,2172,489,152,763,1068,4066,1044,11761,893,297,1031,811,1459,503,346
2015-11-13,1388,731,1203,8,369,1236,601,389,508,473,3301,315,667,1488,1771,30,976,106,3233,1539,773,5109,1357,20472,175,622,193,448,217,54,1203,194,280,229,22,354,587,33,3,106,174,15,167,127,147,722,713,46,17012,14067,1648,776,1120,462,996,262,789,3956,430,1104,2004,712,5260,5027,23,1694,330,843,3629,2691,386,152,1880,3966,152,4063,24062,1029,2105,14255,823,7139,4517,393,1398,2163,449,126,666,989,3486,891,9627,864,623,808,769,1155,629,267
2015-11-14,1087,401,405,9,347,815,521,301,367,429,2920,192,748,1236,3783,17,1002,96,2920,1486,380,4573,1092,19774,180,327,148,361,145,40,1062,117,307,185,19,294,270,30,8,71,133,15,113,76,90,351,718,41,17503,11836,1607,673,1018,411,844,283,627,2799,379,1001,2616,785,4153,20658,43,2132,272,768,2992,2798,273,110,1455,3254,90,3436,19775,807,1843,10894,835,6396,1989,632,1296,2356,337,133,383,1041,2584,864,7149,741,1810,960,531,930,431,212
2015-11-15,1074,570,490,8,682,982,597,346,409,490,3279,204,727,1415,4241,11,1269,88,3158,1666,299,4501,702,20195,200,607,204,358,196,57,1060,177,321,199,32,210,409,30,5,73,120,26,121,97,115,354,796,41,11959,4041,1474,686,969,490,935,321,596,3056,380,1320,1913,674,4091,15042,32,2116,393,892,3429,2613,286,147,1737,3493,163,3608,21615,997,2141,12430,946,6706,2512,714,1073,6282,370,117,502,1134,2980,941,9073,921,1797,1127,630,1033,533,262
2015-11-16,1259,789,1403,34,485,1466,964,374,443,519,3362,250,749,1650,5224,36,1486,121,3393,1674,481,4914,928,21357,206,637,232,443,227,54,1489,170,348,293,35,276,517,43,6,163,139,17,159,143,131,359,1098,69,10534,4857,1733,759,1308,549,1234,343,642,4039,481,1530,1923,755,4421,11475,31,2525,400,1021,4149,2845,377,190,1789,3575,156,3742,24984,997,2605,16757,1124,7047,5577,983,2027,2371,395,97,463,1032,4173,1044,11411,946,1926,1290,743,764,563,422
2015-11-17,1754,692,1439,14,489,1750,921,536,545,610,3282,234,788,1761,4388,24,1102,87,2957,1860,708,7937,1352,20209,203,580,204,617,206,42,1464,190,391,315,47,227,470,33,7,91,154,22,126,104,167,312,1355,58,29252,11305,2597,796,1147,507,1193,301,650,4351,506,1294,2382,722,4521,7476,38,2472,495,2084,4340,2819,399,215,1964,3450,186,4249,37379,1021,2646,17567,1123,7891,5720,1132,4373,2562,428,155,502,1080,4320,1013,12344,787,495,1225,742,1069,502,325
2015-11-18,1544,903,1435,20,498,1627,850,488,502,571,3271,227,806,1667,4188,41,1176,112,3211,1682,486,5591,2167,18759,266,558,293,523,209,68,1345,158,365,394,31,225,503,26,6,91,177,28,109,101,141,279,1344,72,25292,17967,2675,743,1013,517,1006,251,782,4419,530,1270,1923,699,4638,7179,32,2604,407,2408,4507,2901,478,199,1716,3363,182,4475,44865,1014,2655,16783,1575,17747,5555,1080,34309,4576,385,154,764,1072,4141,944,13145,930,339,1108,901,925,663,295
2015-11-19,1558,897,1491,10,419,1516,744,417,475,543,3261,228,1221,1341,3564,34,1532,125,3876,1665,391,4717,1712,19073,198,577,248,405,199,48,1829,151,345,345,37,255,601,31,13,100,155,20,141,110,148,226,772,76,7520,3727,1081,747,1054,455,959,264,726,4620,486,1352,2205,750,4803,7006,51,2472,991,1144,4171,2735,460,203,1909,3410,182,3951,49236,1085,2758,17979,1385,10849,5472,867,17080,3472,450,158,665,1214,3721,1000,12705,844,331,1060,796,1004,531,274
2015-11-20,1266,703,1235,6,365,1445,783,386,470,499,3472,224,840,1197,2830,25,1116,100,2774,1502,354,4333,1147,20185,172,500,223,413,212,42,2061,150,328,296,32,211,534,26,7,79,130,26,107,115,124,246,692,67,4419,1856,692,725,988,454,947,233,748,4543,589,1425,2588,1115,4859,6121,50,2267,1188,942,3905,2544,416,217,1782,3019,186,3475,98881,1036,2459,16538,1154,8108,4810,754,10763,3033,694,137,565,1013,3487,942,12825,1015,366,1027,662,910,522,333
2015-11-21,1128,482,436,17,231,809,495,279,321,395,3402,177,762,1008,1918,19,935,94,1781,1238,258,4262,604,20080,180,275,196,582,154,31,1198,130,325,215,23,170,295,21,6,58,126,21,88,78,124,189,459,59,3000,1212,461,634,810,353,725,213,636,3502,515,1242,3552,984,4344,4491,62,2164,654,746,3204,2804,299,175,1619,3196,123,3712,92129,812,1798,11056,1135,7099,2125,554,8395,3021,586,152,422,1095,2647,842,7721,1056,247,997,541,551,451,195
2015-11-22,1147,533,496,13,328,899,613,394,335,394,3512,289,1001,1038,2134,11,1203,103,1575,1510,333,4051,630,20750,140,349,190,562,139,36,1213,153,280,208,55,224,421,33,6,78,152,23,85,145,113,197,410,67,2502,886,442,623,972,421,762,204,580,3569,658,1342,3270,817,4074,4120,22,2506,668,1051,3749,2485,318,179,1638,3203,165,3390,97359,1039,2154,12505,1254,7408,2532,564,5581,2767,538,86,475,1264,3061,1004,9597,879,2109,1105,598,1691,460,231
2015-11-23,1296,743,1278,18,395,1383,686,439,478,413,4515,245,1101,1133,2453,21,1382,126,2347,1606,581,4140,969,21940,191,593,321,597,169,47,1536,167,355,334,113,261,712,29,5,89,150,33,116,169,125,183,446,68,2512,804,470,726,1023,437,872,249,756,5191,1106,1667,2976,932,4735,4457,39,2597,619,1035,7373,4386,358,208,2019,3494,363,3476,93926,1068,2513,16671,1344,8390,5280,599,4225,2705,608,114,531,1413,3674,1016,11972,1037,1001,1079,679,1441,621,283
2015-11-24,1863,755,1405,21,426,1433,733,345,401,496,4441,210,892,1087,2469,26,1114,121,2440,1624,647,4229,954,19752,185,549,217,684,221,73,1408,137,390,287,65,291,582,30,3,98,123,29,133,271,154,159,423,53,2203,731,453,737,1051,442,880,243,754,5417,1350,1804,3179,779,4684,3921,37,2180,528,1022,7625,15691,351,218,1935,3362,213,4232,84004,1056,2687,17012,1199,10058,5301,1100,4267,2858,561,116,603,1324,3864,908,14265,820,613,1022,715,1953,602,270
2015-11-25,1454,587,1275,30,343,1029,625,351,343,398,4219,227,1266,1082,2067,34,1518,125,1928,1528,641,4080,1098,20263,180,408,292,866,199,60,1380,157,377,259,49,246,391,39,5,71,135,37,139,320,142,114,436,66,2092,645,378,692,926,485,897,226,610,5166,688,1628,2526,736,4437,3898,33,2072,508,995,5044,19228,327,207,2323,3588,162,4193,99474,1148,2581,15715,1412,29196,4880,877,3583,2920,565,122,799,1355,3696,888,25408,720,453,902,611,2784,523,251
2015-11-26,1106,591,976,27,320,930,559,332,343,387,3750,193,882,1061,1911,22,1185,96,1438,1490,596,3816,430,20261,214,305,219,628,193,60,2040,143,329,231,43,260,349,32,6,66,150,28,102,538,114,130,413,64,1793,567,315,590,914,385,840,217,632,5085,656,1420,4537,785,4464,3361,31,1796,423,856,3993,12862,283,163,1761,2999,145,3676,83355,1160,2224,12236,1026,12958,3955,827,2684,2710,483,253,589,1080,2952,814,15671,902,281,1093,531,3023,388,244
2015-11-27,1069,488,922,12,333,815,566,348,343,412,3509,177,1231,920,1675,16,1458,99,1323,1391,589,3750,560,20632,219,246,371,493,196,49,1985,125,365,236,62,253,335,26,6,85,143,26,104,429,120,117,397,50,1642,443,337,649,816,463,734,239,598,5974,645,1479,2801,655,6738,4055,30,1923,405,826,4088,8304,267,166,1789,3188,244,3198,61929,1042,2241,12715,993,9412,4016,990,2376,2464,444,124,473,1157,2624,849,10576,971,261,841,618,1258,428,214
2015-11-28,1130,370,470,12,251,809,543,270,344,380,3842,240,841,888,1511,15,1048,80,1193,1338,528,3717,613,21366,237,264,283,495,167,22,1538,107,379,243,86,208,336,30,3,84,121,18,105,162,130,97,428,52,1492,606,283,714,720,415,747,230,613,4226,664,1466,3625,790,4622,4909,34,2063,392,730,3531,6558,288,163,1670,3402,257,3102,58301,1163,1981,9633,1055,8042,1951,717,1946,2468,430,117,469,1424,2510,872,8214,918,334,726,499,715,575,205
2015-11-29,1183,557,581,23,314,931,660,317,351,391,4452,245,899,901,1774,16,1351,100,1400,1498,595,4047,419,22104,182,322,227,522,178,49,1470,100,291,281,70,247,366,32,7,86,120,6,112,166,140,118,415,56,1529,421,336,848,1251,583,2118,426,834,4159,760,1670,3521,748,4380,5141,47,1947,439,848,4264,5338,321,175,1881,3758,258,3276,54521,1478,2026,11224,1091,8376,2456,790,1979,2555,452,145,629,1527,3084,989,10442,954,365,866,542,615,462,218
2015-11-30,1335,800,1377,9,482,1455,863,400,494,606,4007,309,897,1035,2222,26,1571,199,3431,1896,760,4277,781,23444,292,511,270,616,171,58,2856,155,443,583,80,269,583,27,3,122,171,20,140,204,295,268,508,98,1705,517,356,1418,2391,982,4312,842,850,5993,906,1997,2944,754,5126,3632,46,2153,467,1031,5403,5338,339,296,2111,3832,190,3183,59369,1447,2764,15610,1235,8907,5492,721,2371,2598,499,104,629,1463,4367,1044,13281,867,370,1114,1002,637,518,311
2015-12-01,1400,760,1505,14,430,1596,846,410,474,644,3640,240,1038,1136,2442,39,1452,110,2731,1676,636,4432,1027,22298,275,562,266,612,208,57,2916,166,430,439,85,333,587,34,4,79,246,21,143,194,236,248,447,69,1812,592,353,1136,1461,768,2425,568,678,5281,936,2471,3289,826,5151,3693,23,2056,400,1119,4915,4258,416,182,2230,4376,224,3577,48523,1294,3006,17084,1342,10268,5757,782,2123,2358,497,96,575,1295,4976,1051,12651,879,486,1138,1045,725,536,321
2015-12-02,1557,792,1299,27,427,1572,921,413,536,519,3377,300,956,1185,2983,30,1285,112,2361,1663,755,4154,1084,34402,227,625,285,589,225,79,1937,171,440,530,47,435,746,35,1,118,198,14,123,215,322,213,360,84,1647,564,258,1025,1211,679,1414,402,759,4934,1041,2955,3287,858,5714,4861,46,3477,374,1172,4670,3479,349,195,2403,4492,200,4253,43573,1328,2930,19277,2333,21263,5696,819,1753,2240,482,127,752,1244,4591,912,12709,843,390,2719,3312,587,616,342
2015-12-03,1612,702,1334,15,405,1586,851,363,434,519,3329,212,1152,1271,2955,24,1496,100,2186,1661,665,4708,987,21354,224,513,248,685,220,46,2077,149,390,1018,57,337,573,46,7,93,182,22,144,173,259,229,574,182,2125,520,450,885,1247,578,1208,282,685,4735,1061,2138,2367,881,5261,6586,41,20229,404,1240,5170,3030,420,211,2375,3847,203,3485,35023,1580,2523,17019,1414,11631,5399,590,1755,3358,443,141,668,1201,4009,957,12954,825,442,2671,851,522,524,292
